[9:22:58 AM] [Config] Media Path: E:\Blippi\downloads
[9:22:58 AM] [DB] Initialized.
[9:22:58 AM] [Scheduler] Started — checking every minute for scheduled downloads.
[9:35:16 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:35:27 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:35:36 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:35:46 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:35:56 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:36:06 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:36:17 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:36:26 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:36:36 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:36:47 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:36:56 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:37:06 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:37:16 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:37:26 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:37:36 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:37:46 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:37:56 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:38:07 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:38:16 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:38:26 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:38:36 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:38:46 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:38:57 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:39:06 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:39:16 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:39:26 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:39:37 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:39:46 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:39:57 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:40:07 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:40:17 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:40:27 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:40:37 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
